Assay Name	Standardised Name	Tumour individual	Sample type	Lineage Assigned	Study (Batch)	Breast Cancer Subtype
ppb.iBAQ.59M_1_Coscia	59M		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.59M_2_Coscia	59M		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.59M_3_Coscia	59M		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.786.O_1_Gholami	786O		CellLine	Kidney	Gholami	#N/A
ppb.iBAQ.A2780.CP70_1_Coscia	A2780CP70		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A2780.CP70_2_Coscia	A2780CP70		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A2780.CP70_3_Coscia	A2780CP70		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A2780_1_Coscia	A2780		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A2780_2_Coscia	A2780		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A2780_3_Coscia	A2780		CellLine	Ovary	Coscia	#N/A
ppb.iBAQ.A.498_1_Gholami	A498		CellLine	Kidney	Gholami	#N/A
ppb.iBAQ.A.549_1_Bekker.Jensen_Tryp_46Fractions	A549		CellLine	Lung	Bekker.Jensen	#N/A
ppb.iBAQ.A.549_1_Geiger	A549		CellLine	Lung	Geiger	#N/A
ppb.iBAQ.A.549_1_Gholami	A549		CellLine	Lung	Gholami	#N/A
ppb.iBAQ.A.549_2_Bekker.Jensen_Tryp_46Fractions	A549		CellLine	Lung	Bekker.Jensen	#N/A
ppb.iBAQ.A.549_2_Geiger	A549		CellLine	Lung	Geiger	#N/A
ppb.iBAQ.A.549_3_Geiger	A549		CellLine	Lung	Geiger	#N/A
ppb.iBAQ.ACHN_1_Gholami	ACHN		CellLine	Kidney	Gholami	#N/A
ppb.iBAQ.BT.20_1_Lawrence	BT20		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.BT.20_2_Lawrence	BT20		CellLine	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.BT.474_1_Lawrence	BT474		CellLine	Breast	Lawrence	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.BT.474_2_Lawrence	BT474		CellLine	Breast	Lawrence	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.BT.549_1_Gholami	BT549		CellLine	Breast	Gholami	TNB (triple negative)
