UniProtKB.AC	Ensembl
P31946	ENSG00000166913
P62258	ENSG00000108953; ENSG00000274474
Q04917	ENSG00000128245
P61981	ENSG00000170027
P31947	ENSG00000175793
P27348	ENSG00000134308
P63104	ENSG00000164924
P30443	ENSG00000229215; ENSG00000224320
P01892	ENSG00000235657; ENSG00000227715
P04439	ENSG00000206503
P13746	ENSG00000206503
Q96QU6	ENSG00000110455
Q4AC99	ENSG00000205126
P30447	ENSG00000223980
P05534	ENSG00000229215; ENSG00000224320
P18462	ENSG00000206505
P30450	ENSG00000206505
P30512	ENSG00000231834
P16188	ENSG00000206503
P16189	ENSG00000231834
P10314	ENSG00000223980
P16190	ENSG00000231834
P30453	ENSG00000206505
P30455	ENSG00000229215; ENSG00000224320
P30456	ENSG00000206505
P30457	ENSG00000206505
P01891	ENSG00000235657
P10316	ENSG00000235657
P30459	ENSG00000223980
Q09160	ENSG00000229215; ENSG00000224320
P01889	ENSG00000234745
P30460	ENSG00000223532
P30461	ENSG00000224608
P30462	ENSG00000223532
P30464	ENSG00000232126
P30466	ENSG00000206450
P03989	ENSG00000224608
P30685	ENSG00000206450
P18463	ENSG00000206450
Q95365	ENSG00000223532
P30475	ENSG00000223532
Q04826	ENSG00000206450
P30479	ENSG00000223532
P30480	ENSG00000234745
P30481	ENSG00000228964
P30483	ENSG00000232126
P30484	ENSG00000232126
P30485	ENSG00000224608
P30486	ENSG00000234745
P30487	ENSG00000224608
P30488	ENSG00000232126
P18464	ENSG00000206450
P30490	ENSG00000232126
P30491	ENSG00000206450
P30492	ENSG00000206450
P30493	ENSG00000206450
P30495	ENSG00000206450
P18465	ENSG00000224608
P10319	ENSG00000224608
Q29940	ENSG00000206450
Q29836	ENSG00000234745
Q31612	ENSG00000234745
P30498	ENSG00000206450
Q31610	ENSG00000234745
Q29718	ENSG00000206450
P30499	ENSG00000237022
P30501	ENSG00000228299
P04222	ENSG00000225691
P30504	ENSG00000206435; ENSG00000206452
Q9TNN7	ENSG00000206435; ENSG00000206452
Q29963	ENSG00000228299
P10321	ENSG00000204525
P30505	ENSG00000206435; ENSG00000206452
P30508	ENSG00000228299
P30510	ENSG00000237022
Q07000	ENSG00000206435; ENSG00000206452
Q29960	ENSG00000237022
Q95604	ENSG00000206435; ENSG00000206452
Q29865	ENSG00000228299
Q15172	ENSG00000066027
Q15173	ENSG00000068971
Q14738	ENSG00000112640
Q16537	ENSG00000154001
Q13362	ENSG00000078304
P30153	ENSG00000105568
P30154	ENSG00000137713
P63151	ENSG00000221914
Q00005	ENSG00000156475
Q66LE6	ENSG00000175470
Q9Y2T4	ENSG00000074211
P04229	ENSG00000196126
P01912	ENSG00000206306; ENSG00000206240
P13760	ENSG00000228080
P13761	ENSG00000229074; ENSG00000236884
Q30134	ENSG00000206306; ENSG00000206240
Q9TQE0	ENSG00000229074; ENSG00000236884
Q30167	ENSG00000228080
P20039	ENSG00000206306; ENSG00000206240
Q95IE3	ENSG00000206306; ENSG00000206240; ENSG00000228080
Q5Y7A7	ENSG00000206306; ENSG00000206240
Q9GIY3	ENSG00000206306; ENSG00000196126; ENSG00000206240; ENSG00000228080
P01911	ENSG00000196126
Q29974	ENSG00000196126
P14060	ENSG00000203857
P26439	ENSG00000203859
Q9H2F3	ENSG00000099377
Q9Y3L3	ENSG00000100092
P78314	ENSG00000087266
Q7L8J4	ENSG00000175137
O60239	ENSG00000131370
P46952	ENSG00000162882
P31937	ENSG00000106049
P29372	ENSG00000103152
P11171	ENSG00000159023
Q13541	ENSG00000187840
Q13542	ENSG00000148730
O60516	ENSG00000243056
Q9NRA8	ENSG00000184708
P08195	ENSG00000168003
P08908	ENSG00000178394
P28222	ENSG00000135312
P28221	ENSG00000179546
P28566	ENSG00000168830
P30939	ENSG00000179097
P28223	ENSG00000102468
P41595	ENSG00000135914
P28335	ENSG00000147246
P46098	ENSG00000166736
O95264	ENSG00000149305
Q8WXA8	ENSG00000178084
Q70Z44	ENSG00000186090
A5X5Y0	ENSG00000186038
Q13639	ENSG00000164270
P47898	ENSG00000157219
P50406	ENSG00000158748
P34969	ENSG00000148680
Q9BXI3	ENSG00000116981
Q96P26	ENSG00000185013
Q9H0P0	ENSG00000122643
Q969T7	ENSG00000141698
P49902	ENSG00000076685
P21589	ENSG00000135318
P56378	ENSG00000156411
P52209	ENSG00000142657
O95336	ENSG00000130313
P05408	ENSG00000166922; ENSG00000277614; ENSG00000281931
P36639	ENSG00000106268
P0DKL9	ENSG00000268223; ENSG00000268714
Q8IZ83	ENSG00000161618
Q676U5	ENSG00000085978; ENSG00000281089
Q8NAA4	ENSG00000168010
P02763	ENSG00000229314
P19652	ENSG00000228278
P20848	
P01009	ENSG00000197249
P04217	ENSG00000121410
Q9NQ94	ENSG00000148584
Q8NF67	
Q5TYW2	ENSG00000260691
Q5SQ80	ENSG00000183148
Q5VUR7	ENSG00000276203
Q4UJ75	ENSG00000172014
A0PJZ0	
Q96IX9	
P08697	ENSG00000167711; ENSG00000276838
P02750	ENSG00000171236
P01023	ENSG00000175899
A8K2U0	ENSG00000166535
A7E2S9	ENSG00000163046
U3KPV4	ENSG00000184389
Q5T5F5	
Q9NPC4	ENSG00000128274
Q9UNA3	ENSG00000118017
P05067	ENSG00000142192
Q96GX2	ENSG00000253719
P30542	ENSG00000163485
P29274	ENSG00000128271
P29275	ENSG00000170425
P0DMS8	ENSG00000282608
Q9NS82	ENSG00000130876
P22760	ENSG00000114771
Q9NRG9	ENSG00000094914
Q15758	ENSG00000105281
Q86V21	ENSG00000081760
P01011	ENSG00000196136
Q8N5Z0	ENSG00000109576
Q7RTV5	ENSG00000158122
Q6PD74	ENSG00000103591
Q2M2I8	ENSG00000115977
Q9Y478	ENSG00000111725
O43741	ENSG00000131791
P54619	ENSG00000181929
Q9UGJ0	ENSG00000106617
Q9UGI9	ENSG00000115592
Q9H7C9	ENSG00000087884
Q13685	ENSG00000127837
Q13131	ENSG00000132356
P54646	ENSG00000162409
Q9Y312	ENSG00000131043
Q4LEZ3	ENSG00000205002
P86434	
Q9BTE6	ENSG00000108825; ENSG00000266967
Q9UDR5	ENSG00000008311
Q8NHS2	ENSG00000169154
P17174	ENSG00000120053
Q9NY61	ENSG00000275700; ENSG00000276072
P00505	ENSG00000125166
Q7Z5M8	ENSG00000131969
Q96GS6	ENSG00000129968
Q5VST6	ENSG00000107362
Q6PCB6	ENSG00000136379
Q7Z5R6	ENSG00000077420
P31941	ENSG00000128383; ENSG00000262156
Q9UH17	ENSG00000179750
Q9NRW3	ENSG00000244509
Q96AK3	ENSG00000243811
Q8IUX4	ENSG00000128394
Q9HC16	ENSG00000239713
Q6NTF7	ENSG00000100298
O95477	ENSG00000165029
Q9BZC7	ENSG00000107331
Q99758	ENSG00000167972
P78363	ENSG00000198691
